"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
b8cd3be0,explore,22,121.954
38f14edf,explore,142,137.319
37537daf,,100,
b8656cd1,index,4,16.497
388c5062,welcome,7,38.993
399042f2,query,126,258.006
3825d668,welcome,79,25.772
380124f4,welcome,68,27.124
b7219296,explore,61,95.139
b8f2b75c,welcome,9,25.880
38bd58e6,welcome,7,30.601
3878a57d,query,121,311.410
b81a2d8e,query,17,410.404
36cd0681,index,6,54.094
384c9e30,query,21,396.740
3874325c,query,33,375.945
b8e11809,explore,35,67.235
b8a76e6e,explore,310,117.999
b8d29a1e,,10,
b79059f2,explore,72,93.785
38715456,query,435,390.159
389fb3f5,explore,22,47.155
b76af8d0,welcome,60,40.856
b9863787,explore,191,199.338
376a31f7,welcome,29,32.308
b85fadd4,explore,165,36.199
392b1d81,query,83,405.807
372ba72b,index,4,53.715
395482c8,index,31,56.257
38937049,welcome,7,29.158
380229e3,welcome,8,29.537
3942c8d2,query,48,434.481
b8e95dbd,index,16,38.798
b866df57,explore,33,83.149
b88acb3a,explore,33,24.342
b8cb668d,explore,22,67.309
b7c82f3f,explore,30,120.033
b881154c,query,239,337.511
b7d7b7e1,query,17,471.807
38e2efc3,query,17,280.746
394ddbe2,query,129,407.601
38499121,explore,174,169.025
38b4efea,welcome,30,24.913
36413a23,query,57,334.994
b7e8471c,welcome,47,32.461
b90c5840,explore,148,86.438
36cd0681,query,32,280.751
38a33852,query,17,412.285
372dd8d5,welcome,13,21.017
b866df57,query,19,324.274
371a54b2,explore,22,160.424
381b3616,,111,
37de11b8,explore,60,154.650
b843f6c4,query,66,375.019
382cbaf0,explore,52,80.588
b67e31d7,query,161,420.764
38738934,index,31,63.655
380b954e,query,182,451.799
389ecbcb,welcome,13,24.662
371ab83e,welcome,90,29.739
38bd58e6,,10,
38d9aaac,,109,
389b6955,welcome,50,19.266
380b954e,query,116,324.892
392b1d81,index,4,45.448
b894b6e7,index,4,32.913
36e0df61,query,17,497.087
b751dac7,,71,
b984fd05,explore,105,123.637
3942c8d2,index,26,60.188
37e605a5,query,106,296.101
b92a0568,explore,22,145.453
39810e91,explore,22,171.649
b9584ed5,explore,94,119.001
b964410c,explore,98,103.280
b8743f55,query,58,485.145
38d91a68,welcome,7,36.792
385276a9,explore,56,153.814
36e0df61,welcome,94,28.999
b8cd3be0,welcome,20,16.741
b87c02c8,explore,263,106.698
b9251758,welcome,21,31.650
b8b2a8b6,welcome,16,19.799
b8b7ba1e,welcome,13,34.890
b722d103,welcome,52,23.538
b909b2c9,query,49,369.764
38fb24c3,query,45,372.875
377cd850,query,19,425.637
3897cb37,welcome,15,23.278
38a09be2,explore,51,95.568
38595510,welcome,70,45.958
b909847e,query,67,339.569
b8a366cb,query,78,333.297
b5383e8b,query,82,347.592
b9251758,query,25,313.992
b8dd440e,explore,111,127.526
b92f2f94,explore,40,125.414
b963ff2b,explore,91,52.473
b8eb1431,query,47,399.881
b843f6c4,welcome,7,33.743
3929bc2a,explore,22,130.992
b8b40cfa,,66,
b85de11e,index,26,51.793
397ef877,,23,
3858a90b,explore,94,96.776
b8a366cb,index,44,37.462
37260a05,index,47,36.071
38d650b9,welcome,7,25.203
b782da6b,,95,
38ab8d7f,explore,200,66.934
38280d6c,,35,
385276a9,welcome,11,36.926
b8e03e49,query,33,333.055
373370a7,welcome,25,20.837
b8eb1431,,119,
b8d7beca,explore,199,77.547
b8e95dbd,query,19,363.248
3812c125,query,35,422.322
b7e8471c,explore,218,149.867
37e605a5,query,53,434.025
b940485f,query,17,294.828
b79059f2,welcome,50,25.088
3932a5dc,,27,
b7640fe2,explore,139,115.025
376a31f7,explore,31,200.826
37c97c81,query,43,469.194
38935991,query,211,437.581
b722d103,,10,
b92a0568,query,54,422.190
b92eeecb,query,298,393.014
380c290a,welcome,22,25.487
37de11b8,explore,40,65.460
b84235d6,welcome,7,25.254
b7cef0b0,explore,322,88.923
394ddfd9,explore,48,63.346
b8d979b8,welcome,19,28.852
385ba5ea,explore,22,129.789
390a7b96,query,17,480.795
376a234b,explore,127,173.774
388be9d2,query,261,443.021
36124279,explore,86,76.004
39320fa4,explore,61,63.281
b964410c,explore,341,73.792
38a03687,query,170,379.057
378a7a9a,query,21,373.482
3854a6d5,explore,149,116.762
39746f30,welcome,7,18.303
38aeed0b,explore,24,113.404
378a7a9a,,10,
b9859cce,query,47,371.021
379a2fde,explore,139,136.407
b88acb3a,explore,43,78.678
37a82a7e,query,39,394.270
3928c4b8,explore,23,143.826
b8d7beca,welcome,51,20.543
38d0501b,query,122,422.698
b91fdf40,explore,22,28.000
382f758f,explore,31,132.097
b7d7b7e1,welcome,16,33.804
389ad15f,query,24,332.736
b88e97cc,explore,24,61.097
b878603b,query,20,332.476
b90037ce,query,48,387.741
b7af974b,explore,464,102.862
38dadc41,welcome,29,33.048
b8b40cfa,welcome,124,28.672
b909847e,explore,212,129.233
37b9201d,query,17,420.291
3727d510,query,93,412.137
3810645e,query,80,418.823
b9049c6d,explore,55,102.039
b940485f,query,112,386.631
b7219296,,10,
387157e9,welcome,7,17.375
b895f6f7,explore,94,110.792
37debbd5,explore,29,40.462
b83093aa,explore,216,95.946
37c18db6,,10,
b8961eb2,welcome,7,19.874
38043b6f,welcome,89,41.549
b6a0a726,query,42,467.391
b7ec988d,explore,94,68.365
38fb24c3,query,86,398.886
b9849c67,welcome,7,37.412
b846d2d5,query,37,451.972
b873ff03,index,9,49.991
b8cf0f2c,index,41,30.828
b79059f2,query,30,465.950
39262c2c,query,76,369.571
38cfcfd8,query,45,469.858
b8d2a7ee,query,154,410.118
b785749f,welcome,10,17.088
b7af974b,welcome,31,22.662
b8e03e49,query,55,385.516
38b156fd,welcome,114,29.637
37a6b109,explore,117,184.511
b865e455,explore,73,38.964
b9089ee8,query,17,427.149
b87c02c8,,16,
3882ec68,welcome,33,30.618
37b9201d,query,192,333.492
b8eb1431,query,237,435.788
b7219296,query,17,412.633
3854a6d5,query,67,391.695
3911f0b1,explore,25,148.167
3942c8d2,explore,22,81.441
38b156fd,index,44,59.996
b843f6c4,welcome,69,30.625
3941931d,explore,22,119.329
36cd0681,,10,
384c9e30,explore,81,127.648
376a31f7,explore,53,86.791
b85fadd4,explore,59,96.380
37d59f5c,index,18,31.164
b8f6a9d3,welcome,57,35.580
38bce03f,,45,
3862baeb,explore,54,88.837
b8d23a66,query,17,452.071
b7e8471c,explore,142,125.853
3862baeb,explore,45,62.087
b895f6f7,explore,99,153.312
382cbaf0,explore,47,115.928
378a7a9a,welcome,14,35.461
b77582fd,query,77,368.176
38df9237,query,120,390.069
38dadc41,query,17,447.136
3862baeb,welcome,66,28.588
b91ae4d7,,43,
38be1630,query,28,386.792
39204937,query,216,372.145
b91086bb,query,82,432.247
b8484e6c,explore,46,149.768
b92e8801,explore,295,96.066
38935991,query,17,385.919
b6b1090b,query,48,350.394
b7e8471c,query,224,466.218
38903a89,explore,22,103.506
380db636,query,50,357.152
b716567c,welcome,87,39.134
b97853da,query,17,348.408
b8d397b9,welcome,26,28.257
37de11b8,explore,292,31.285
393f380d,welcome,12,27.435
b70be3c1,welcome,7,35.441
37a82a7e,welcome,15,48.356
38b4efea,query,48,381.277
b836330c,explore,83,83.688
b881154c,query,151,414.669
b5383e8b,explore,292,71.589
b79059f2,explore,234,138.018
3864e757,index,40,33.352
376a31f7,explore,184,39.845
b8bc718f,query,105,304.005
b8e11809,,68,
388ea112,query,54,392.547
38e2efc3,welcome,9,10.143
37dff849,explore,70,79.731
b854ef43,,48,
38935991,index,6,41.068
37e605a5,explore,25,119.436
b8bc718f,explore,185,143.497
38233158,query,147,405.657
3882ec68,index,26,32.575
36cd0681,welcome,33,38.011
b8f6a9d3,query,117,434.350
38e2efc3,index,9,44.009
b930b197,index,18,30.783
3882ec68,welcome,47,33.464
b940485f,welcome,99,28.526
b91548eb,explore,315,166.372
384c9e30,query,106,347.002
389b6955,welcome,78,27.068
399d158b,welcome,30,29.808
38738934,index,13,36.598
b77313cd,query,177,382.906
3864e757,query,41,400.939
3810645e,explore,81,115.508
b782da6b,welcome,18,22.627
39081e78,query,70,302.107
b871175a,explore,39,103.503
394ddfd9,query,24,373.347
b8aa5016,welcome,13,35.222
38c8a346,explore,128,84.953
b8b7ba1e,,21,
38fb24c3,explore,59,95.240
38c902a6,query,79,411.124
b6acd2e3,query,144,380.008
b5383e8b,explore,156,122.803
38757537,query,17,374.656
b89a141a,explore,24,117.117
b865e455,welcome,42,35.877
388be9d2,explore,36,91.542
37b9201d,explore,263,81.970
394cb0da,query,31,387.714
b6a0a726,welcome,8,37.427
376a31f7,explore,426,184.400
383ea267,index,14,67.669
b8484e6c,query,365,340.704
b8df35c5,query,353,374.723
b8433ba3,query,17,453.997
b90334f8,,18,
b83d7d66,query,672,409.390
b9849c67,index,7,27.186
3928c4b8,query,20,337.024
b8a43a0a,welcome,20,16.160
38df9237,index,7,60.438
b98bcfcc,explore,29,86.577
b87bfdf5,query,36,470.860
b861305a,explore,22,130.489
b90d34cb,index,8,67.953
b9049c6d,explore,223,97.941
b81a2d8e,query,265,319.678
38233158,query,63,416.671
b7bc1f0f,query,17,284.267
37debbd5,explore,51,169.164
b85348db,query,37,396.743
b62ede58,welcome,69,27.451
b8dd440e,query,145,381.776
b885293e,welcome,124,12.638
b81d2395,query,54,292.401
37448f35,query,181,377.921
3801b442,query,100,262.414
b81a2d8e,explore,201,44.015
b8484e6c,explore,101,74.313
38937049,explore,163,132.114
b92eeecb,query,17,285.713
371ab83e,explore,22,123.365
b7ca1b94,query,69,423.605
b7a489a1,,59,
37448f35,welcome,80,49.539
38ef3640,query,32,381.530
380d570e,explore,141,110.537
b8571315,index,17,23.243
b8f2b75c,explore,317,91.008
b8d979b8,welcome,27,30.908
393381c2,explore,119,115.672
b88fd3bb,query,95,429.197
b7ba8440,query,17,379.145
385377d2,explore,108,78.984
b7dc0233,explore,31,104.797
b807be94,query,97,383.475
393f380d,explore,100,184.153
39081e78,explore,125,69.670
b7bc1f0f,explore,22,101.616
39460216,,39,
388ea112,,66,
b8a76e6e,index,52,42.910
3851b378,explore,121,133.301
38935991,query,87,482.915
b7640fe2,explore,94,115.032
37c57dbc,query,79,381.425
38ab8d7f,explore,39,174.183
3824ecdb,welcome,15,21.033
b85de11e,query,266,442.820
b782b13b,explore,78,96.343
b9501b64,welcome,34,31.805
37d123f1,explore,82,127.174
390a7b96,query,200,417.050
3810645e,,14,
b9049c6d,query,61,390.756
39007e90,welcome,7,45.187
b91ae4d7,query,48,402.962
b861aaca,welcome,21,26.169
39081e78,,72,
39204937,query,138,291.180
b89bb83c,welcome,7,39.285
38570593,query,18,464.154
b6b1090b,index,4,30.818
390a7b96,query,35,399.542
380db636,query,160,487.492
39324b60,explore,203,73.248
b89a3dfc,query,31,359.362
392668c1,welcome,24,47.183
b6a0a726,explore,51,163.373
b8f64134,explore,319,103.915
b8e95dbd,,30,
b89b724e,query,17,351.698
b92e8801,index,4,45.690
3887562b,index,4,41.935
385377d2,query,32,423.618
b98127eb,query,17,455.603
b91086bb,,91,
b8f250c1,query,18,449.157
38738934,query,17,284.481
380d570e,welcome,31,46.800
37b9201d,explore,45,120.420
38df9237,explore,162,111.842
b8c91f40,welcome,21,23.894
b92e8801,query,41,336.103
b866df57,query,299,331.219
b90e3c5f,,10,
38a09be2,query,188,522.445
b90334f8,explore,22,163.032
b98127eb,explore,238,82.242
38a09be2,query,164,421.236
b7e8471c,explore,78,151.286
38935991,index,14,64.724
b9049c6d,welcome,12,50.124
b909847e,query,465,289.184
b81d2395,explore,50,81.746
b7dc0233,welcome,15,46.493
b88e5463,explore,22,100.503
b7c82f3f,query,175,350.207
b8d979b8,welcome,7,34.402
379a2fde,index,17,49.381
39320fa4,explore,59,126.756
b5f2decc,index,23,34.412
38d8cf54,welcome,7,22.265
b7ca1b94,explore,42,158.817
b80c7902,query,364,309.302
b8f64134,explore,30,31.120
b8f250c1,welcome,10,31.812
39341037,explore,50,94.550
b94822a0,explore,22,66.415
b89a3dfc,explore,102,186.389
b7ec988d,explore,580,142.333
37dff849,explore,63,207.686
3878a57d,welcome,19,30.139
b8f250c1,welcome,20,44.103
380b954e,query,53,366.545
38bd58e6,explore,104,101.340
b7dc0233,welcome,25,36.582
3928c4b8,,159,
b8f250c1,welcome,52,30.169
b8cd3be0,query,56,332.215
3858a90b,query,173,400.881
3862baeb,query,35,395.759
381b3616,welcome,11,32.539
b85fadd4,explore,176,61.004
378a7a9a,index,5,56.250
b8f6a9d3,explore,38,112.426
b85ea5e5,index,4,90.478
395482c8,welcome,66,33.669
38664594,welcome,26,41.256
38a33852,index,22,14.654
38e3ee82,explore,371,134.175
391bfc51,index,18,41.406
3862baeb,explore,22,98.639
37b9201d,query,42,380.669
b89a3dfc,welcome,29,27.629
b846d2d5,explore,56,105.718
3825d668,explore,96,125.593
380c290a,welcome,24,18.030
b7a93738,query,80,397.025
b8008c33,query,54,432.052
b8c91f40,query,112,490.378
36ed3039,explore,41,171.787
b8a67ade,query,233,310.802
38df9237,explore,260,106.279
b892f9b1,query,40,320.248
39087913,query,54,370.877
389ad15f,index,18,51.429
b8447762,query,397,399.061
b6ddba69,welcome,15,42.040
383ea267,welcome,7,20.842
399d158b,query,17,347.711
b8dd440e,query,168,359.623
38b4efea,query,33,392.069
380c290a,welcome,73,24.553
b8006280,query,84,411.299
b8d2a7ee,query,23,495.207
38664594,welcome,67,32.161
b89b724e,explore,129,103.131
38cfcfd8,query,329,395.116
390180e2,explore,37,53.724
380d570e,query,78,311.374
b707afe7,query,33,394.985
b89bb83c,query,105,353.733
37a6b109,query,297,425.950
b94822a0,query,17,304.340
b891e22a,welcome,56,43.318
39341037,query,26,423.566
b8d979b8,query,50,294.591
b8bc718f,,140,
3874325c,index,37,19.985
b878603b,welcome,26,22.721
39831e60,query,81,416.292
b9893389,explore,116,60.399
b9251758,query,224,327.831
b6b1090b,explore,61,119.884
388ea112,welcome,37,44.519
38a33852,,25,
b704d04c,explore,22,124.882
38b7cf6f,index,11,39.414
382cbaf0,explore,49,105.930
38df9237,index,5,26.181
b861aaca,index,10,36.441
b9089ee8,,81,
b8a76e6e,query,183,329.116
3854a6d5,query,29,356.157
b97853da,query,35,415.395
b91ae4d7,explore,261,101.677
b9849c67,explore,22,103.164
b89bb83c,query,55,379.280
3858a90b,explore,31,67.891
36124279,query,32,324.696
3941931d,index,13,37.663
390180e2,explore,149,146.007
3882ec68,query,140,478.548
b8b7ba1e,explore,22,86.603
b866df57,explore,48,66.939
b9859cce,query,17,359.855
b85fadd4,query,18,282.155
b95df9e6,explore,46,145.687
3878a57d,explore,22,94.908
b751dac7,query,100,490.197
b866df57,explore,304,119.623
b881154c,query,115,379.005
37c97c81,welcome,65,17.339
b846d2d5,,10,
b8cd3be0,query,181,438.056
38260124,query,17,388.157
380b954e,query,17,340.948
b89113df,,10,
b8bacf06,query,105,332.037
b8cd58c8,explore,66,46.103
b7aa7170,index,25,42.982
b85348db,explore,22,64.021
b704d04c,explore,124,94.817
388be9d2,query,49,399.433
391bfc51,explore,25,143.203
b854ef43,query,17,218.001
38d650b9,explore,116,106.834
b751dac7,query,183,332.470
b81d2395,query,42,339.111
b7a93738,explore,32,71.055
388eee90,welcome,15,28.005
b930b197,query,78,338.543
b88fd3bb,query,18,377.394
38c66a69,explore,22,132.335
38e3ee82,welcome,7,31.330
b895360e,explore,22,150.824
38f14edf,,10,
38570593,index,11,46.238
38c8a346,explore,411,106.021
b8a67ade,index,26,41.440
b891e22a,welcome,7,33.118
b8d397b9,query,33,411.526
37537daf,welcome,133,23.639
b85fadd4,welcome,134,24.731
b8d979b8,explore,267,116.525
38499121,welcome,79,46.716
b909847e,query,259,344.621
b8c91f40,explore,104,63.128
3825d668,welcome,36,25.397
b8a76e6e,query,35,369.909
b9089ee8,query,75,414.304
393381c2,explore,35,120.748
37758a07,explore,172,57.027
3864e757,query,19,437.897
3890f66f,query,230,422.281
b92a0568,,10,
b84235d6,explore,71,93.383
b88e5463,query,17,294.883
b707afe7,welcome,7,38.581
372ba72b,welcome,69,25.728
b7ec988d,query,86,378.172
376a234b,welcome,20,30.535
38cb3d3d,welcome,35,36.702
390170d2,welcome,80,30.553
381b3616,welcome,82,36.710
382cbaf0,query,52,444.239
372ba72b,explore,75,24.884
b6921073,welcome,97,18.352
3779aa78,explore,82,49.297
b871175a,,128,
376a234b,welcome,7,32.076
39810e91,welcome,139,34.570
385276a9,query,17,373.626
b909b2c9,query,19,406.468
37debbd5,query,76,353.332
b85de11e,query,17,476.656
36413a23,explore,22,86.037
399d158b,query,68,355.033
b8cd3be0,query,26,409.810
b7640fe2,index,7,38.018
38976b8d,query,30,466.880
b89a3dfc,welcome,7,27.529
380db636,query,62,365.004
380b954e,explore,92,135.044
b6a6b774,explore,22,83.306
3801b442,welcome,63,18.439
37ac4473,welcome,7,27.235
b895f6f7,explore,26,34.134
36e0df61,query,17,411.103
38fb24c3,,10,
384c9e30,query,108,403.441
b909b2c9,query,95,415.129
b8d2286a,,87,
37c97c81,query,71,453.136
b90037ce,,64,
b85348db,,15,
377cd850,query,97,384.418
388edbb7,query,164,538.257
b8d7beca,query,32,279.285
3862baeb,welcome,16,27.359
b8743f55,welcome,30,34.435
b8eb1431,explore,22,141.383
b7a93738,query,17,383.248
b8008c33,explore,346,102.035
394ddfd9,explore,29,88.111
380c290a,query,236,535.685
37c57dbc,explore,135,131.858
b8a43a0a,,97,
b67e31d7,query,113,416.589
394ddfd9,explore,99,136.052
392b1d81,welcome,7,28.183
380cd81e,,28,
390170d2,query,17,314.521
380cd81e,query,50,369.564
390a7b96,,10,
371ab83e,explore,22,169.306
38499121,welcome,14,23.666
b5dced94,query,167,368.430
388c5062,welcome,8,25.377
38fb24c3,query,171,339.934
3928c4b8,,13,
3851b378,explore,371,90.352
3812c125,query,52,299.820
399042f2,query,35,319.628
39a559e2,query,175,439.500
37debbd5,query,94,400.663
b7640fe2,explore,227,132.439
b6921073,query,17,376.848
b894b6e7,explore,135,127.811
37b27ce3,query,104,439.078
b67e31d7,explore,31,110.430
395482c8,query,208,521.021
38d650b9,query,111,369.158
37a6b109,query,304,348.322
38c07244,explore,367,105.747
371e3a21,query,67,221.740
39432455,index,38,54.484
b87c02c8,explore,160,80.486
38c07244,,18,
37448f35,query,68,395.893
38a09be2,index,4,24.185
b7ba8440,query,17,416.984
38935991,welcome,11,33.726
b91b0f7b,query,17,394.621
b856720f,index,12,46.690
b8484e6c,,10,
b76af8d0,welcome,41,21.951
b89a3dfc,query,17,315.431
b9859cce,welcome,21,28.874
b909b2c9,explore,271,198.029
36ed3039,explore,74,74.247
3833f03c,query,17,407.881
b8df35c5,query,67,255.642
3863e159,query,44,363.787
b5383e8b,query,88,262.384
38903a89,welcome,9,16.802
38d0501b,welcome,21,36.209
3892e64a,,39,
b9089ee8,welcome,8,29.403
b90037ce,explore,22,123.430
37dff849,query,132,462.232
b84235d6,explore,83,87.538
36124279,explore,38,95.960
b8961eb2,query,17,383.813
38fc0392,query,24,372.012
b8d2a7ee,welcome,9,22.819
b77313cd,explore,68,90.749
380124f4,explore,123,139.033
3858a90b,explore,235,123.306
b8dd440e,query,46,317.060
38d91a68,explore,415,158.124
b77313cd,explore,22,92.369
3882ec68,query,110,413.580
38cb3d3d,query,181,283.314
b5dced94,index,10,57.164
38595510,explore,83,120.113
39460216,,97,
b5dced94,explore,22,111.157
b873ff03,,35,
3812c125,explore,109,97.461
b8b411d7,query,50,319.170
38df9237,explore,228,65.421
38b7cf6f,explore,25,155.259
b7d7b7e1,explore,22,90.372
380cd81e,explore,73,80.484
b8380f86,explore,35,143.822
390180e2,index,15,52.522
b92eeecb,index,20,75.566
b8136484,explore,172,103.709
393f6b13,explore,51,111.197
b7cfdfaa,explore,41,95.224
b8f2b75c,welcome,14,25.879
385276a9,query,57,399.124
b7aa7170,explore,54,78.434
37b9201d,query,57,393.456
382f758f,query,33,439.551
b81d2395,explore,590,123.611
b87bfdf5,index,24,42.538
b8b411d7,explore,96,115.306
38c66a69,query,17,312.753
b894b6e7,welcome,20,22.619
b91ae4d7,query,107,503.910
b89113df,query,34,296.170
389ad15f,welcome,48,39.956
38738934,welcome,7,30.427
37b27ce3,,10,
39341037,explore,33,121.533
38cfcfd8,query,85,457.078
b958b4b9,query,17,345.658
394cb0da,welcome,55,31.009
37d59f5c,index,13,26.080
b5dced94,query,278,305.010
3801b442,welcome,198,34.873
39262c2c,query,17,258.676
b85de11e,query,17,400.358
b881154c,,16,
39746f30,query,31,538.782
b958b4b9,welcome,43,42.389
b85de11e,explore,90,109.580
389369e1,,10,
b782b13b,query,437,369.803
371e3a21,query,150,342.865
3892e64a,query,152,367.687
3824ecdb,,20,
b892f9b1,query,149,421.652
b7dc0233,query,34,237.493
38aeed0b,query,300,299.824
b785749f,explore,393,76.224
38df9237,explore,60,51.831
b88acb3a,,87,
39460216,,10,
b881154c,query,322,402.490
b70be3c1,index,6,56.540
380229e3,query,479,386.676
36f6d52a,index,4,28.843
b8e6281d,query,69,478.839
b90334f8,query,133,284.673
391a0899,index,8,31.024
b704d04c,index,5,44.675
b88e97cc,index,42,30.953
b7e8471c,explore,360,51.062
38f8128a,query,21,355.916
b92f2f94,query,275,298.605
37a82a7e,,93,
38dadc41,query,70,342.248
37ac4473,query,76,349.377
b91086bb,query,106,381.072
391d89ec,query,25,299.903
380db636,query,168,357.069
b856720f,,10,
38ef3640,query,17,517.903
39831e60,welcome,7,30.670
38b16198,explore,52,137.330
b7af974b,,28,
b84235d6,welcome,31,36.953
380124f4,query,26,278.858
b866df57,explore,22,107.828
b92e8801,explore,185,19.464
380cd81e,index,4,66.080
3874325c,welcome,39,31.773
b707afe7,index,20,49.902
b89a3dfc,explore,87,73.393
37537daf,explore,94,86.429
b722d103,query,40,378.595
b857f798,query,17,259.093
380cd81e,index,9,50.289
372dd8d5,query,17,431.155
39087913,query,106,351.145
b83093aa,query,77,410.542
39324b60,query,77,275.046
37dff849,welcome,17,23.841
b8433ba3,explore,128,147.208
b8eb1431,query,127,452.482
37758a07,,45,
39262c2c,welcome,24,38.769
37b9201d,query,21,373.773
395482c8,query,17,399.585
b8f64134,query,17,440.768
b70be3c1,query,305,439.348
b90e3c5f,explore,154,118.705
b6b1090b,index,12,25.459
b6a6b774,welcome,12,26.795
b8d29a1e,welcome,7,23.021
3897cb37,explore,326,119.565
386e63fe,query,29,416.999
372dd8d5,query,399,548.193
b8a366cb,welcome,22,25.057
37e1894f,query,17,422.554
3850b5be,explore,265,92.214
38df9237,,90,
b909b2c9,explore,22,79.177
b8df35c5,,36,
b8bc718f,query,117,442.734
380cd81e,query,17,476.440
b6a6b774,query,173,327.430
378b9806,welcome,9,24.640
3892e64a,,64,
393381c2,explore,181,135.618
b7aa7170,query,76,467.790
b8484e6c,query,173,328.280
385ba5ea,welcome,44,34.852
3911f0b1,query,42,440.906
376a234b,explore,22,147.989
383ea267,index,13,64.343
b8b411d7,explore,46,119.294
b77313cd,explore,28,93.799
390170d2,welcome,54,38.449
395ac9c4,query,27,523.182
b846d2d5,index,33,28.268
b92eeecb,query,37,391.534
38b7cf6f,explore,22,188.849
3874325c,query,17,512.427
b9849c67,welcome,71,22.366
38937049,welcome,11,35.471
b800c649,explore,153,131.823
b7928361,query,39,413.051
38fb24c3,query,17,469.928
b8743f55,explore,22,121.876
38976b8d,query,95,331.538
38715456,query,47,320.816
3989c759,query,17,504.357
b6acd2e3,explore,22,153.098
380b954e,explore,120,101.167
36fca6f9,explore,84,137.941
380c290a,query,96,335.374
b7640fe2,query,17,343.306
b704d04c,explore,22,118.280
387157e9,index,8,29.892
385276a9,welcome,33,24.746
b9584ed5,welcome,7,34.666
b8961eb2,,12,
b8eb1431,explore,134,116.146
38260124,,46,
b843f6c4,query,18,328.397
38c07244,query,90,431.839
b90c5840,query,167,402.119
b8571315,welcome,26,31.297
385276a9,index,15,69.655
38aa2a71,query,266,412.852
380229e3,explore,201,130.139
b8f6a9d3,query,33,326.802
38757537,explore,209,80.800
36ed3039,query,70,429.013
b91548eb,welcome,17,23.108
b8d397b9,explore,111,82.627
b984fd05,welcome,71,31.055
38df9237,explore,84,132.530
3824ecdb,query,68,316.076
372dd8d5,query,17,476.946
b894b6e7,,23,
b8e11809,query,17,460.082
3874325c,welcome,14,18.610
37758a07,explore,170,60.022
b92eeecb,query,65,347.484
380229e3,query,164,306.427
397ef877,query,17,481.983
389fb3f5,welcome,18,22.201
390180e2,query,98,425.450
38e3ee82,query,98,379.240
386e63fe,query,18,450.927
387157e9,query,78,282.481
b873ff03,explore,22,136.614
b8d979b8,explore,30,129.014
3894a26a,query,88,445.420
385d7134,,40,
389ecbcb,explore,258,143.608
b87c02c8,query,115,444.140
36413a23,query,52,255.503
3858a90b,welcome,7,28.964
3854a6d5,index,4,53.055
38903a89,query,40,367.310
b843f6c4,welcome,11,25.543
372ba72b,index,11,54.699
38d9aaac,query,17,259.133
38bd58e6,query,135,452.214
393f6b13,explore,22,42.048
39262c2c,query,17,254.032
39341037,,48,
b87bfdf5,index,61,67.294
389b6955,index,13,8.599
b861aaca,welcome,15,43.611
b8b7ba1e,index,7,53.664
b894b6e7,query,44,332.044
b894b6e7,welcome,7,32.358
b807be94,query,18,427.051
b7a489a1,explore,22,148.109
38a33852,index,4,50.603
b964410c,query,24,409.485
b8f64134,welcome,12,20.925
b98127eb,welcome,7,32.051
b89a141a,index,11,79.945
b824e5f3,index,14,55.008
3854a6d5,explore,80,133.552
b7a489a1,explore,53,83.197
b8571315,query,96,381.402
3812c125,explore,102,64.904
392b1d81,explore,153,83.896
38cb3d3d,query,68,328.306
39810e91,query,40,407.193
b807be94,query,112,437.983
b7a93738,welcome,49,24.373
b7ec988d,query,17,247.821
385276a9,query,156,442.367
b97853da,welcome,9,41.423
b85fadd4,explore,169,97.317
38f14edf,query,25,297.816
37d123f1,query,151,405.419
38c902a6,query,43,357.585
b8eb1431,query,17,291.892
39320fa4,query,125,350.193
37b9201d,explore,207,81.027
372dd8d5,welcome,7,34.387
b9584ed5,explore,52,119.305
38bd58e6,,10,
392668c1,explore,53,76.911
b8d397b9,index,4,60.681
b940485f,explore,22,88.400
382cbaf0,query,142,304.062
b8dd440e,explore,129,42.781
36413a23,explore,22,75.206
b77313cd,query,71,302.275
b6b1090b,explore,206,131.449
b7e8471c,explore,22,176.738
3897cb37,index,8,58.190
376a31f7,query,36,436.493
b8c91f40,explore,327,117.015
b8d7beca,welcome,38,29.561
b873ff03,explore,78,158.729
b70be3c1,,15,
b7ca1b94,query,33,406.177
3779aa78,query,116,423.427
b77582fd,index,23,29.158
385ba5ea,welcome,7,31.167
b8a43a0a,welcome,135,22.781
b8c91f40,index,18,60.517
b800c649,query,56,379.717
b8b40cfa,query,54,389.924
381b3616,query,17,354.743
38260124,explore,22,119.310
b8136484,welcome,26,16.133
b820f8d2,query,64,450.693
b7e8471c,welcome,9,31.859
b881154c,query,93,394.307
37b27ce3,query,264,258.072
b90334f8,explore,117,144.846
b9863787,explore,22,52.976
380db636,query,422,348.745
3833f03c,welcome,49,29.587
3863e159,query,70,441.134
b6a0a726,index,23,58.369
b6a6b774,query,105,478.534
b866df57,,53,
b8b2a8b6,explore,309,107.305
38233158,query,17,422.566
b8b411d7,explore,92,135.101
b971b013,index,9,56.884
38dadc41,welcome,58,21.147
37c57dbc,explore,22,153.053
3932a5dc,,22,
3928c4b8,welcome,29,31.010
b964410c,query,101,349.310
b76af8d0,query,17,379.332
b83093aa,welcome,59,30.540
b8c91f40,query,37,297.421
39432455,explore,227,143.746
b909847e,query,17,333.149
b8f28a24,explore,30,89.521
38976b8d,query,203,429.955
b8f250c1,,25,
38bd58e6,explore,22,99.115
